system_id,poly_index,polynomial
1,1,x0**3*x1**2 + 6546 mod 32003*x0*x1
1,2,x0**12*x2**9 + 7292 mod 32003*x0*x1**5*x2**15 + 3856 mod 32003*x0**7*x1**2*x2**4
1,3,x0**13*x1**2*x2**9 + 11201 mod 32003*x0**6*x2**14
1,4,x0**3*x1**4*x2**6 + 4665 mod 32003*x0**5
1,5,x0*x1**16*x2**6 + 14999 mod 32003*x0**5*x1**2*x2**16
1,6,x0**10*x1**8*x2**4 + 18663 mod 32003*x0**11*x1*x2**2 + 13119 mod 32003*x1**7
1,7,x0**12*x1**4*x2**4 + 22391 mod 32003*x0**8
1,8,x0**8*x1**3*x2 + 22872 mod 32003*x0**7
1,9,x0**8*x1**4*x2**4 + 2351 mod 32003*x0*x2**10
1,10,x0**5*x1*x2**13 + 28041 mod 32003*x0**4*x1**5*x2**2
2,1,x1**8*x2**8 + 12814 mod 32003*x0**3*x1**7*x2
2,2,x0**12*x2**3 + 23698 mod 32003*x0**3*x1*x2**9
2,3,x0**14*x1**4*x2 + 877 mod 32003*x0**8
2,4,x1**13*x2**9 + 23071 mod 32003*x1**4*x2**4
2,5,x0**9*x1**5*x2**3 + 2693 mod 32003*x0*x1**3 + 31276 mod 32003*x1*x2**3
2,6,x0**14*x2**8 + 9100 mod 32003*x0**5*x1**3*x2**6
2,7,x0**12*x1**5*x2**7 + 6101 mod 32003*x0**11*x1**7
2,8,x0**4*x1**6 + 16280 mod 32003*x0**4*x1*x2**2
2,9,x0**6*x1**19 + 12799 mod 32003*x0**9*x1**4*x2**6
2,10,x0**3*x1**7*x2**2 + 2649 mod 32003*x0**3*x2
3,1,x0**2*x1**8*x2**3 + 21602 mod 32003*x0**3*x1**3
3,2,x0 + 17333 mod 32003*x2
3,3,x0**14*x1**5*x2**3 + 15452 mod 32003*x1**4*x2
3,4,x0 + 26694 mod 32003*x1
3,5,x1**12*x2**5 + 17306 mod 32003*x0**7*x1**2*x2**3
3,6,x0**11*x1**3*x2**9 + 13350 mod 32003*x0**14*x1**2*x2**3 + 10630 mod 32003*x0**3*x1
3,7,x0**5*x1**12 + 14658 mod 32003*x0**7*x1**3*x2
