system_id,poly_index,polynomial
1,1,s1**2+g1**2-1;
1,2,s2**2+g2**2-1;
1,3,C1*g1**3+C2*g2**3-1.2;
1,4,C1*s1**3+C2*s2**3-1.2;
1,5,C1*g1**2*s1+C2*g2**2*s2-0.7;
1,6,C1*g1*s1**2+C2*g2*s2**2-0.7;
2,1,z*u+y*v+t*w-w**2-1/2*w-1/2;
2,2,z*u**2+y*v**2-t*w**2+w**3+w**2-1/3*t+4/3*w;
2,3,x*z*v-t*w**2+w**3-1/2*t*w+w**2-1/6*t+2/3*w;
2,4,z*u**3+y*v**3+t*w**3-w**4-3/2*w**3+t*w-5/2*w**2-1/4*w-1/4;
2,5,x*z*u*v+t*w**3-w**4+1/2*t*w**2-3/2*w**3+1/2*t*w-7/4*w**2-3/8*w-1/8;
2,6,x*z*v**2+t*w**3-w**4+t*w**2-3/2*w**3+2/3*t*w-7/6*w**2-1/12*w-1/12;
2,7,-t*w**3+w**4-t*w**2+3/2*w**3-1/3*t*w+13/12*w**2+7/24*w+1/24;
3,1,-a-b+b1+b2+b3;
3,2,a*b-b**2-b/2+b2*c2+b3*c3-1/2;
3,3,-a*b**2-a/3+b**3+b**2+4*b/3+b2*c2**2+b3*c3**2;
3,4,-a*b**2-a*b/2-a/6+a32*b3*c2+b**3+b**2+2*b/3;
3,5,a*b**3+a*b-b**4-3*b**3/2-5*b**2/2-b/4+b2*c2**3+b3*c3**3-1/4;
3,6,a*b**3+a*b**2/2+a*b/2+a32*b3*c2*c3-b**4-3*b**3/2-7*b**2/4-3*b/8-1/8;
3,7,a*b**3+a*b**2+2*a*b/3+a32*b3*c2**2-b**4-3*b**3/2-7*b**2/6-b/12-1/12;
3,8,-a*b**3-a*b**2-a*b/3+b**4+3*b**3/2+13*b**2/12+7*b/24+1/24;
4,1,-d1*q1-d2*q2-d3*q3+1;
4,2,-3.6*d1*q1+4.1*d1*q2+2.0*d1*q3+0.1*d1+4.1*d2*q1+1.8*d2*q2+3.7*d2*q3-0.2*d2+2.0*d3*q1+3.7*d3*q2-4.0*d3*q3+0.3*d3+0.1*q1-0.2*q2+0.3*q3+5.8;
4,3,-2.140796*d1*q1-3.998792*d1*q2+3.715992*d1*q3-0.2828*d1-3.998792*d2*q1-1.575196*d2*q2-3.998792*d2*q3+3.715992*d3*q1-3.998792*d3*q2-2.140796*d3*q3+0.2828*d3-0.2828*q1+0.2828*q3+5.856788;
4,4,0.3464*d1*q1+0.1732*d1*q2-5.999648*d1*q3-0.1732*d1+0.1732*d2*q1-5.999648*d2*q2-0.1732*d2*q3+0.3464*d2-5.999648*d3*q1-0.1732*d3*q2-0.3464*d3*q3-0.1732*d3-0.1732*q1+0.3464*q2-0.1732*q3+5.999648;
4,5,-5701.3*d1*q1-2.9*d1*q2+3796.7*d1*q3-1902.7*d1-2.9*d2*q1-5698.7*d2*q2+1897.3*d2*q3+3803.3*d2+3796.7*d3*q1+1897.3*d3*q2+5703.1*d3*q3+0.7*d3-1902.7*q1+3803.3*q2+0.7*q3+5696.9;
4,6,-6.8*d1*q1-3.2*d1*q2+1.3*d1*q3+5.1*d1-3.2*d2*q1-4.8*d2*q2-0.7*d2*q3-7.1*d2+1.3*d3*q1-0.7*d3*q2+9.0*d3*q3-d3+5.1*q1-7.1*q2-q3+2.6;
5,1,y**2*z+2*x*y*t-2*x-z;
5,2,-x**3*z+4*x*y**2*z+4*x**2*y*t+2*y**3*t+4*x**2-10*y**2+4*x*z-10*y*t+2;
5,3,2*y*z*t+x*t**2-x-2*z;
5,4,-x*z**3+4*y*z**2*t+4*x*z*t**2+2*y*t**3+4*x*z+4*z**2-10*y*t-10*t**2+2;
6,1,15.0*b**4*c*d**2+6.0*b**4*c**3+21.0*b**4*c**2*d-144.0*b**2*c-8.0*b**2*c**2*e-28.0*b**2*c*d*e-648.0*b**2*d+36.0*b**2*d**2*e+9.0*b**4*d**3-120.0;
6,2,30.0*c**3*b**4*d-32.0*d*e**2*c-720.0*d*b**2*c-24.0*c**3*b**2*e-432.0*c**2*b**2+576.0*e*c-576.0*d*e+16.0*c*b**2*d**2*e+16.0*d**2*e**2+16.0*e**2*c**2+9.0*c**4*b**4+5184.0+39.0*d**2*b**4*c**2+18.0*d**3*b**4*c-432.0*d**2*b**2+24.0*d**3*b**2*e-16.0*c**2*b**2*d*e-240.0*c;
6,3,216.0*d*b**2*c-162.0*d**2*b**2-81.0*c**2*b**2+5184.0+1008.0*e*c-1008.0*d*e+15.0*c**2*b**2*d*e-15.0*c**3*b**2*e-80.0*d*e**2*c+40.0*d**2*e**2+40.0*e**2*c**2;
6,4,261.0+4.0*d*b**2*c-3.0*d**2*b**2-4.0*c**2*b**2+22.0*e*c-22.0*d*e;
7,1,y1*y2+y1-3*y5;
7,2,2*y1*y2+y1+0.0000019230*y2**2+y2*y3**2+0.00054518*y2*y3+0.000034074*y2*y4+0.00000044975*y2-10*y5;
7,3,2*y2*y3**2+0.00054518*y2*y3+0.38600*y3**2+0.00041062*y3-8*y5;
7,4,0.000034074*y2*y4+2*y4**2-40*y5;
7,5,y1*y2+y1+0.00000096150*y2**2+y2*y3**2+0.00054518*y2*y3+0.000034074*y2*y4+0.00000044975*y2+0.1930*y3**2+0.00041062*y3+y4**2-1;
8,1,x**3*y**2+4*x**2*y**2*z-x**2*y*z**2+288*x**2*y**2+207*x**2*y*z+1152*x*y**2*z+156*x*y*z**2+x*z**3-3456*x**2*y+20736*x*y**2+19008*x*y*z+82944*y**2*z+432*x*z**2-497664*x*y+62208*x*z+2985984*x;
8,2,y**3*t**3+4*y**3*t**2-y**2*z*t**2+4*y**2*t**3-48*y**2*t**2-5*y*z*t**2+108*y*z*t+z**2*t+144*z*t-1728*z;
8,3,-x**2*z**2*t+4*x*z**2*t**2+z**3*t**2+x**3*z+156*x**2*z*t+207*x*z**2*t+1152*x*z*t**2+288*z**2*t**2+432*x**2*z+19008*x*z*t-3456*z**2*t+82944*x*t**2+20736*z*t**2+62208*x*z-497664*z*t+2985984*z;
8,4,y**3*t**3-x*y**2*t**2+4*y**3*t**2+4*y**2*t**3-5*x*y**2*t-48*y**2*t**2+x**2*y+108*x*y*t+144*x*y-1728*x;
9,1,-x**3*y**2+2*x**2*y**2*z-x**2*y*z**2-144*x**2*y**2-207*x**2*y*z+288*x*y**2*z+78*x*y*z**2+x*z**3-3456*x**2*y-5184*x*y**2-9504*x*y*z-432*x*z**2-248832*x*y+62208*x*z-2985984*x;
9,2,-x**3*z*t**2+x**2*z**2*t**2-6*x**3*z*t+4*x**2*z**2*t+32*x**3*t**2-72*x**2*z*t**2-87*x*z**2*t**2-z**3*t**2-8*x**3*z-432*x**2*z*t-414*x*z**2*t+2592*x*z*t**2+864*z**2*t**2-1728*x**2*z-20736*x*z*t+3456*z**2*t-186624*z*t**2-124416*x*z-1492992*z*t-2985984*z;
9,3,x**2*y*t**3-2*x*y**2*t**3+y**3*t**3+8*x**2*y*t**2-12*x*y**2*t**2+4*y**3*t**2-24*x*y*t**3+24*y**2*t**3+20*x**2*y*t-20*x*y**2*t-160*x*y*t**2+96*y**2*t**2+128*x*t**3+16*x**2*y+96*x*y*t+2304*x*t**2+1152*x*y+13824*x*t+27648*x;
9,4,y**3*t**3-y**2*z*t**3+4*y**3*t**2-2*y**2*z*t**2+72*y**2*t**3+71*y*z*t**3+288*y**2*t**2+360*y*z*t**2+6*z**2*t**2+1728*y*t**3-464*z*t**3+432*y*z*t+8*z**2*t+6912*y*t**2-4320*z*t**2+13824*t**3+z**2-13824*z*t+55296*t**2-13824*z;
10,1,x2+2*x6+x9+2*x10-0.000010;
10,2,x3+x8-0.000030;
10,3,x1+x3+2*x5+2*x8+x9+x10-0.000050;
10,4,x4+2*x7-0.000010;
10,5,0.00000005140437*x5-x1**2;
10,6,0.0000001006932*x6-x2**2;
10,7,0.0000000000000007816278*x7-x4**2;
10,8,0.0000001496236*x8-x1*x3;
10,9,0.00000006194411*x9-x1*x2;
10,10,0.000000000000002089296*x10-x1*x2**2;
11,1,-9-t2**2-t3**2-3*t2**2*t3**2+8*t2*t3;
11,2,-9-t3**2-t1**2-3*t3**2*t1**2+8*t3*t1;
11,3,-9-t1**2-t2**2-3*t1**2*t2**2+8*t1*t2;
12,1,4*x1**3+3*x1**2*x2+3*x1**2*x3+3*x1**2*x4+3*x1**2*x5+3*x1*x2**2+3*x1*x3**2+3*x1*x4**2+3*x1*x5**2+x2**3+x3**3+x4**3+x5**3+2*x1**2+3*x1*x2+3*x1*x3+3*x1*x4+3*x1*x5-x2**2-x3**2-x4**2-x5**2-6*x1;
12,2,x1**3+3*x1**2*x2+3*x1*x2**2+4*x2**3+3*x2**2*x3+3*x2**2*x4+3*x2**2*x5+3*x2*x3**2+3*x2*x4**2+3*x2*x5**2+x3**3+x4**3+x5**3-x1**2+3*x1*x2+2*x2**2+3*x2*x3+3*x2*x4+3*x2*x5-x3**2-x4**2-x5**2-6*x2;
12,3,x1**3+3*x1**2*x3+3*x1*x3**2+x2**3+3*x2**2*x3+3*x2*x3**2+4*x3**3+3*x3**2*x4+3*x3**2*x5+3*x3*x4**2+3*x3*x5**2+x4**3+x5**3-x1**2+3*x1*x3-x2**2+3*x2*x3+2*x3**2+3*x3*x4+3*x3*x5-x4**2-x5**2-6*x3;
12,4,x1**3+3*x1**2*x4+3*x1*x4**2+x2**3+3*x2**2*x4+3*x2*x4**2+x3**3+3*x3**2*x4+3*x3*x4**2+4*x4**3+3*x4**2*x5+3*x4*x5**2+x5**3-x1**2+3*x1*x4-x2**2+3*x2*x4-x3**2+3*x3*x4+2*x4**2+3*x4*x5-x5**2-6*x4;
12,5,x1**3+3*x1**2*x5+3*x1*x5**2+x2**3+3*x2**2*x5+3*x2*x5**2+x3**3+3*x3**2*x5+3*x3*x5**2+x4**3+3*x4**2*x5+3*x4*x5**2+4*x5**3-x1**2+3*x1*x5-x2**2+3*x2*x5-x3**2+3*x3*x5-x4**2+3*x4*x5+2*x5**2-6*x5;
13,1,a+b+c+d+x;
13,2,a*b+b*c+c*d+d*x+x*a;
13,3,a*b*c+b*c*d+c*d*x+d*x*a+x*a*b;
13,4,a*b*c*d+b*c*d*x+c*d*x*a+d*x*a*b+x*a*b*c;
13,5,a*b*c*d*x-1;
14,1,z0+z1+z2+z3+z4+z5;
14,2,z0*z1+z1*z2+z2*z3+z3*z4+z4*z5+z5*z0;
14,3,z0*z1*z2+z1*z2*z3+z2*z3*z4+z3*z4*z5+z4*z5*z0+z5*z0*z1;
14,4,z0*z1*z2*z3+z1*z2*z3*z4+z2*z3*z4*z5+z3*z4*z5*z0+z4*z5*z0*z1+z5*z0*z1*z2;
14,5,z0*z1*z2*z3*z4+z1*z2*z3*z4*z5+z2*z3*z4*z5*z0+z3*z4*z5*z0*z1+z4*z5*z0*z1*z2+z5*z0*z1*z2*z3;
14,6,z0*z1*z2*z3*z4*z5-1;
15,1,z0+z1+z2+z3+z4+z5+z6;
15,2,z0*z1+z1*z2+z2*z3+z3*z4+z4*z5+z5*z6+z6*z0;
15,3,z0*z1*z2+z1*z2*z3+z2*z3*z4+z3*z4*z5+z4*z5*z6+z5*z6*z0+z6*z0*z1;
15,4,z0*z1*z2*z3+z1*z2*z3*z4+z2*z3*z4*z5+z3*z4*z5*z6+z4*z5*z6*z0+z5*z6*z0*z1+z6*z0*z1*z2;
15,5,z0*z1*z2*z3*z4+z1*z2*z3*z4*z5+z2*z3*z4*z5*z6+z3*z4*z5*z6*z0+z4*z5*z6*z0*z1+z5*z6*z0*z1*z2+z6*z0*z1*z2*z3;
15,6,z0*z1*z2*z3*z4*z5+z1*z2*z3*z4*z5*z6+z2*z3*z4*z5*z6*z0+z3*z4*z5*z6*z0*z1+z4*z5*z6*z0*z1*z2+z5*z6*z0*z1*z2*z3+z6*z0*z1*z2*z3*z4;
15,7,z0*z1*z2*z3*z4*z5*z6-1;
16,1,z0+z1+z2+z3+z4+z5+z6+z7;
16,2,z0*z1+z1*z2+z2*z3+z3*z4+z4*z5+z5*z6+z6*z7+z7*z0;
16,3,z0*z1*z2+z1*z2*z3+z2*z3*z4+z3*z4*z5+z4*z5*z6+z5*z6*z7+z6*z7*z0+z7*z0*z1;
16,4,z0*z1*z2*z3+z1*z2*z3*z4+z2*z3*z4*z5+z3*z4*z5*z6+z4*z5*z6*z7+z5*z6*z7*z0+z6*z7*z0*z1+z7*z0*z1*z2;
16,5,z0*z1*z2*z3*z4+z1*z2*z3*z4*z5+z2*z3*z4*z5*z6+z3*z4*z5*z6*z7+z4*z5*z6*z7*z0+z5*z6*z7*z0*z1+z6*z7*z0*z1*z2+z7*z0*z1*z2*z3;
16,6,z0*z1*z2*z3*z4*z5+z1*z2*z3*z4*z5*z6+z2*z3*z4*z5*z6*z7+z3*z4*z5*z6*z7*z0+z4*z5*z6*z7*z0*z1+z5*z6*z7*z0*z1*z2+z6*z7*z0*z1*z2*z3+z7*z0*z1*z2*z3*z4;
16,7,z0*z1*z2*z3*z4*z5*z6+z1*z2*z3*z4*z5*z6*z7+z2*z3*z4*z5*z6*z7*z0+z3*z4*z5*z6*z7*z0*z1+z4*z5*z6*z7*z0*z1*z2+z5*z6*z7*z0*z1*z2*z3+z6*z7*z0*z1*z2*z3*z4+z7*z0*z1*z2*z3*z4*z5;
16,8,z0*z1*z2*z3*z4*z5*z6*z7-1;
17,1,x1**2+x2**2-1;
17,2,x3**2+x4**2-1;
17,3,x5**2+x6**2-1;
17,4,x7**2+x8**2-1;
17,5,x9**2+x10**2-1;
17,6,x11**2+x12**2-1;
17,7,3*x3+2*x5+x7-3.9701;
17,8,3*x1*x4+2*x1*x6+x1*x8-1.7172;
17,9,3*x2*x4+2*x2*x6+x2*x8-4.0616;
17,10,x3*x9+x5*x9+x7*x9-1.9791;
17,11,x2*x4*x9+x2*x6*x9+x2*x8*x9+x1*x10-1.9115;
17,12,-x3*x10*x11-x5*x10*x11-x7*x10*x11+x4*x12+x6*x12+x8*x12-0.4077;
18,1,6*a33*a10*a20+10*a22*a10*a31+8*a32*a10*a21-162*a10**2*a21+16*a21*a30+14*a31*a20+48*a10*a30;
18,2,15*a33*a10*a21-162*a10**2*a22-312*a10*a20+24*a10*a30+27*a31*a21+24*a32*a20+18*a22*a10*a32+30*a22*a30+84*a31*a10;
18,3,-240*a10+420*a33-64*a22+112*a32;
18,4,180*a33*a10-284*a22*a10-162*a10**2+60*a22*a32+50*a32*a10+70*a30+55*a33*a21+260*a31-112*a20;
18,5,66*a33*a10+336*a32+90*a31+78*a22*a33-1056*a10-90*a21;
18,6,136*a33-136;
18,7,4*a22*a10*a30+2*a32*a10*a20+6*a20*a30-162*a10**2*a20+3*a31*a21*a10;
18,8,28*a22*a10*a33+192*a30+128*a32*a10+36*a31*a20+36*a33*a20-300*a10*a21+40*a32*a21-648*a10**2+44*a22*a31;
19,1,16*a20*a32+18*a21*a31+20*a22*a30;
19,2,-80*a23+180*a34+855*a35;
19,3,7*a20*a31+8*a21*a30;
19,4,210*a35-210;
19,5,40*a20*a34+44*a21*a33+48*a22*a32+52*a23*a31+280*a30;
19,4,27*a20*a33+30*a21*a32+33*a22*a31+36*a23*a30;
19,5,55*a20*a35+60*a21*a34+65*a22*a33+70*a23*a32+80*a30+375*a31;
19,6,78*a21*a35+84*a22*a34+90*a23*a33-170*a20+102*a31+480*a32;
19,7,136*a23*a35-114*a22+152*a33+720*a34;
19,8,105*a22*a35+112*a23*a34-144*a21+126*a32+595*a33;
20,1,-0.137539569915948*y**2-0.0916930466106320*y*z-0.0687697849579740*y*t-0.0550158279663792*y*u-0.0458465233053160*y*v-0.0392970199759852*y*s-0.0343848924789870*y*a+4.12618709747844*y-4.40126623731034;
20,2,-0.178264047725719*y*z-0.133698035794289*z**2-0.106958428635431*z*t-0.0891320238628593*z*u-0.0763988775967365*z*v-0.0668490178971445*z*s-0.0594213492419062*z*a+4.01094107382867*z-4.27833714541725;
20,3,-0.196868164299851*y*t-0.157494531439881*z*t-0.131245442866567*t**2-0.112496093885629*t*u-0.0984340821499253*t*v-0.0874969619110448*t*s-0.0787472657199403*t*a+3.93736328599701*t-4.19985417173015;
