system_id,poly_index,polynomial
1,1,7907*s1**2+7907*g1**2+24096;
1,2,7907*s2**2+7907*g2**2+24096;
1,3,7907*C1*g1**3+7907*C2*g2**3+16114;
1,4,7907*C1*s1**3+7907*C2*s2**3+16114;
1,5,7907*C1*g1**2*s1+7907*C2*g2**2*s2+4066;
1,6,7907*C1*g1*s1**2+7907*C2*g2*s2**2+4066;
2,1,7907*z*u+7907*y*v+7907*t*w+24096*w**2+12048*w+12048;
2,2,7907*z*u**2+7907*y*v**2+24096*t*w**2+7907*w**3+7907*w**2+8032*t+31878*w;
2,3,7907*x*z*v+24096*t*w**2+7907*w**3+12048*t*w+7907*w**2+4016*t+15939*w;
2,4,7907*z*u**3+7907*y*v**3+7907*t*w**3+24096*w**4+4141*w**3+7907*t*w+28237*w**2+6024*w+6024;
2,5,7907*x*z*u*v+7907*t*w**3+24096*w**4+19955*t*w**2+4141*w**3+19955*t*w+10165*w**2+9036*w+3012;
2,6,7907*x*z*v**2+7907*t*w**3+24096*w**4+7907*t*w**2+4141*w**3+15939*t*w+28112*w**2+2008*w+2008;
2,7,24096*t*w**3+7907*w**4+24096*t*w**2+27862*w**3+8032*t*w+5899*w**2+24975*w+30999;
3,1,24096*a+24096*b+7907*b1+7907*b2+7907*b3;
3,2,7907*a*b+24096*b**2+12048*b+7907*b2*c2+7907*b3*c3+12048;
3,3,24096*a*b**2+8032*a+7907*b**3+7907*b**2+31878*b+7907*b2*c2**2+7907*b3*c3**2;
3,4,24096*a*b**2+12048*a*b+4016*a+7907*a32*b3*c2+7907*b**3+7907*b**2+15939*b;
3,5,7907*a*b**3+7907*a*b+24096*b**4+4141*b**3+28237*b**2+6024*b+7907*b2*c2**3+7907*b3*c3**3+6024;
3,6,7907*a*b**3+19955*a*b**2+19955*a*b+7907*a32*b3*c2*c3+24096*b**4+4141*b**3+10165*b**2+9036*b+3012;
3,7,7907*a*b**3+7907*a*b**2+15939*a*b+7907*a32*b3*c2**2+24096*b**4+4141*b**3+28112*b**2+2008*b+2008;
3,8,24096*a*b**3+24096*a*b**2+8032*a*b+7907*b**4+27862*b**3+5899*b**2+24975*b+30999;
4,1,24096*d1*q1+24096*d2*q2+24096*d3*q3+7907;
4,2,16339*d1*q1+3616*d1*q2+15814*d1*q3+3991*d1+3616*d2*q1+7832*d2*q2+19655*d2*q3+24021*d2+15814*d3*q1+19655*d3*q2+375*d3*q3+11973*d3+3991*q1+24021*q2+11973*q3+7457;
4,3,3405*d1*q1+1583*d1*q2+3644*d1*q3+5227*d1+1583*d2*q1+24954*d2*q2+1583*d2*q3+3644*d3*q1+1583*d3*q2+3405*d3*q3+26776*d3+5227*q1+26776*q3+239;
4,4,26370*d1*q1+13185*d1*q2+16916*d1*q3+18818*d1+13185*d2*q1+16916*d2*q2+18818*d2*q3+26370*d2+16916*d3*q1+18818*d3*q2+5633*d3*q3+18818*d3+18818*q1+26370*q2+18818*q3+15087;
4,5,2447*d1*q1+12273*d1*q2+24095*d1*q3+6362*d1+12273*d2*q1+10204*d2*q2+2145*d2*q3+31477*d2+24095*d3*q1+2145*d3*q2+5385*d3*q3+27937*d3+6362*q1+31477*q2+27937*q3+13967;
