system_id,poly_id,num_vars,polynomial
0,0,3,x0**3*x1**8*x2**6 + 22120 mod 32003*x0
0,1,3,x0**3*x1**5*x2**9 + 4560 mod 32003*x0**3*x1*x2**7
0,2,3,x0**16*x1*x2 + 31411 mod 32003*x0*x1**4*x2**10
0,3,3,x0**4*x1**2*x2**8 + 19071 mod 32003*x0
0,4,3,x0**2*x1**4*x2**14 + 30053 mod 32003*x1**5*x2**9
0,5,3,x0**4*x1**6*x2 + 16062 mod 32003*x0*x2**2
0,6,3,x0**3*x1**9 + 3726 mod 32003*x0**6*x1**4*x2**2 + 17834 mod 32003*x0**4*x2**4 + 20026 mod 32003*x0*x2**4
0,7,3,x1**4*x2 + 19168 mod 32003*x1**2*x2**2 + 15897 mod 32003*x1*x2
0,8,3,x2**4 + 15376 mod 32003*x1**2
1,0,3,x0**8*x1*x2**10 + 16534 mod 32003*x0**8*x1**4*x2**2
1,1,3,x0**6*x1**4*x2**10 + 30207 mod 32003*x0**6*x1**12*x2
2,0,3,x0**6*x1**3*x2**7 + 11360 mod 32003*x1**10*x2**5 + 21772 mod 32003*x0**6*x1**3*x2**2 + 8811 mod 32003*x0**4*x1**5
2,1,3,x0**3*x1**12*x2**4 + 2443 mod 32003*x0
2,2,3,x0**8*x1**6*x2**6 + 18503 mod 32003*x0**9*x1**5*x2**3 + 17912 mod 32003*x1**2*x2**3
2,3,3,x0**3*x1**7*x2**9 + 12761 mod 32003*x0**2*x1**3*x2**6
2,4,3,x0 + 559 mod 32003*x2
2,5,3,x0**13*x1**3*x2**4 + 16934 mod 32003*x0**3*x1**13*x2 + 121 mod 32003*x0**4*x1*x2**2
2,6,3,x0**10*x1**3*x2**5 + 24494 mod 32003*x1**2*x2
2,7,3,x0**13*x1**4 + 25544 mod 32003*x0**2*x1**2*x2**2
2,8,3,x0**4*x1**5*x2**11 + 15627 mod 32003*x0**6*x1**6
2,9,3,x0**8*x2 + 14012 mod 32003*x1
3,0,3,x1**7*x2**8 + 27967 mod 32003*x0**7*x1**3*x2**4 + 19248 mod 32003*x0**6*x1**2
3,1,3,x0**7*x1**7*x2**2 + 8868 mod 32003*x1*x2**9 + 24862 mod 32003*x0**3*x1*x2**4
3,2,3,x0*x1**16*x2 + 20395 mod 32003*x1**4*x2**10 + 30981 mod 32003*x0**4*x1**3 + 23532 mod 32003*x2**7
3,3,3,x0**2*x1**5*x2**7 + 29807 mod 32003*x0**4*x2 + 2117 mod 32003*x0**2*x2**2
3,4,3,x0**7*x1**3*x2**2 + 11857 mod 32003*x0**3*x1**4*x2**4
3,5,3,x0**4*x1**16 + 6545 mod 32003*x0**4*x1**3 + 12899 mod 32003*x2
3,6,3,x0**15*x1**4*x2 + 2431 mod 32003*x0**3*x2**9
3,7,3,x0**11*x1**3*x2 + 30431 mod 32003*x0**7*x2 + 11146 mod 32003*x1**5*x2**3
3,8,3,x0**13*x1*x2**5 + 23151 mod 32003*x0**3*x1**15 + 9418 mod 32003*x0**2
4,0,3,x0*x1**5*x2**4 + 3759 mod 32003*x0**5*x1*x2
4,1,3,x1**7*x2**10 + 14265 mod 32003*x0**6*x1**3*x2**3
5,0,3,x0**2*x1**4*x2**14 + 17953 mod 32003*x0*x1*x2**8
5,1,3,x0**15*x1*x2**3 + 460 mod 32003*x0**7*x2**10
5,2,3,x0*x1**13*x2**2 + 10738 mod 32003*x1**6*x2**3 + 2874 mod 32003*x1**7 + 3982 mod 32003*x1*x2
5,3,3,x0**2*x1**6*x2 + 510 mod 32003*x0*x1*x2
5,4,3,x0**6*x1**5*x2**6 + 14323 mod 32003*x1**3*x2**14 + 10216 mod 32003*x1**2*x2
5,5,3,x1**13*x2**3 + 30571 mod 32003*x0**7*x1**5*x2**3 + 957 mod 32003*x1**8*x2**2
6,0,3,x0**10 + 12375 mod 32003*x1**3*x2**5
6,1,3,x0**6*x1**2*x2**6 + 17882 mod 32003*x0**2*x2
6,2,3,x0**8*x1**4 + 30274 mod 32003*x0
6,3,3,x0*x1**15 + 27275 mod 32003*x0**9*x2**6 + 21539 mod 32003*x0*x1**7*x2**4 + 25556 mod 32003*x0**2*x1*x2
6,4,3,x0**2*x1**4*x2**4 + 1784 mod 32003*x0*x1**6 + 25712 mod 32003*x0*x1
6,5,3,x0*x1**5*x2 + 18213 mod 32003*x0**2*x1*x2
6,6,3,x0**10*x1**8 + 29644 mod 32003*x0**2*x1**5*x2**5
7,0,3,x0**2*x1**7*x2**6 + 22026 mod 32003*x0**3*x1*x2**9
7,1,3,x1**17*x2**3 + 15302 mod 32003*x0**5*x2**7
7,2,3,x0**9*x1**4*x2 + 8841 mod 32003*x0*x1**2*x2**4
7,3,3,x0**4*x1*x2**7 + 20173 mod 32003*x1**3*x2**2
8,0,3,x1**3*x2**17 + 15060 mod 32003*x0**4*x1**4*x2**4
8,1,3,x0**9*x1**2*x2**2 + 12835 mod 32003*x0*x1**2*x2**2
8,2,3,x0*x1*x2**9 + 18875 mod 32003*x0
8,3,3,x0**17*x1 + 22798 mod 32003*x0**7*x1
9,0,3,x0**2*x1**6*x2**9 + 18747 mod 32003*x1**10*x2**4
9,1,3,x0**11*x1**3*x2 + 23830 mod 32003*x0**3*x1**6
9,2,3,x0**10*x1**4*x2**6 + 9802 mod 32003*x0**10*x1**6*x2 + 8645 mod 32003*x0
9,3,3,x0*x1**16*x2**3 + 18162 mod 32003*x0**5*x1**3*x2**12 + 30091 mod 32003*x0*x2**15
9,4,3,x0**10*x1*x2**5 + 12310 mod 32003*x0**6*x1**3*x2**2
9,5,3,x0*x1**13 + 28840 mod 32003*x1**3
10,0,3,x0*x1**5*x2**6 + 16032 mod 32003*x0**2*x1**9
10,1,3,x0*x1**10*x2**3 + 28753 mod 32003*x0**2*x2**2
10,2,3,x0*x1**3*x2**13 + 17297 mod 32003*x0*x1**7*x2**2
10,3,3,x0**10*x1**3*x2**4 + 20472 mod 32003*x0**3*x1**4*x2
10,4,3,x0**14*x1**4 + 11236 mod 32003*x0**3*x2 + 19137 mod 32003*x0*x2**3
11,0,3,x0*x1**2*x2**8 + 16173 mod 32003*x0**3*x1
11,1,3,x0**7*x1**3*x2**2 + 28522 mod 32003*x1*x2
11,2,3,x0**2*x1**2*x2**4 + 31018 mod 32003*x0**3*x1**2*x2
11,3,3,x0**2*x1**7*x2**4 + 24798 mod 32003*x0**5*x2**7
11,4,3,x0**2*x1**7*x2**2 + 26477 mod 32003*x0**3*x1**4
11,5,3,x1*x2**11 + 13299 mod 32003*x1**8*x2
11,6,3,x1**7*x2**11 + 15765 mod 32003*x0**4*x2**9 + 10206 mod 32003*x2**4 + 23606 mod 32003*x1
12,0,3,x0**3*x1**12*x2**4 + 24920 mod 32003*x0**4*x2**12
12,1,3,x0**7*x1**5 + 20611 mod 32003*x1
12,2,3,x0**5*x1**4*x2 + 30074 mod 32003*x0*x1**5*x2
13,0,3,x0**2*x1**7 + 6861 mod 32003*x0**3*x2 + 19040 mod 32003*x1**3*x2
13,1,3,x0**10*x2**5 + 24039 mod 32003*x0**2*x1**8*x2
13,2,3,x1**9*x2**3 + 31780 mod 32003*x0**3*x1**5*x2
13,3,3,x0**9*x1**3*x2**6 + 22258 mod 32003*x0**7*x1**4*x2**3
13,4,3,x1**10*x2**3 + 16902 mod 32003*x0**3*x2
13,5,3,x0**15*x1**2 + 27818 mod 32003*x0**7*x1**2*x2**2
13,6,3,x0**2*x1**2*x2 + 22983 mod 32003*x0**3*x2**2
13,7,3,x0**2*x1**11*x2 + 24078 mod 32003*x0**2*x2**6
13,8,3,x0*x1**11*x2**3 + 11194 mod 32003*x0**8*x1**3*x2
13,9,3,x0**6*x1**5*x2**8 + 15389 mod 32003*x0**6*x1**3*x2**9
