system_id,poly_id,num_vars,polynomial
0,0,5,x1*x3**12*x4**4 + 212 mod 32003*x0**8*x1**2*x3**2*x4**3 + 19652 mod 32003*x0
0,1,5,x0**9 + 11665 mod 32003*x0
0,2,5,x2**20 + 6386 mod 32003*x2**8
0,3,5,x0**3*x1**4*x2**3*x3**2*x4**7 + 5161 mod 32003*x0*x2*x3**6*x4**3
0,4,5,x1**8*x2**3*x3**4*x4 + 23277 mod 32003*x1**4*x2**8*x4
0,5,5,x0*x3
0,6,5,x0**6*x1**7*x2**3*x3*x4**3 + 19489 mod 32003*x1**8*x2*x3**6*x4 + 15396 mod 32003*x0**5*x3**4*x4**4
0,7,5,x2**15 + 22673 mod 32003*x2**3
0,8,5,x1**7*x2**10*x3*x4**2 + 19505 mod 32003*x0*x1**2*x2**5*x3*x4 + 11245 mod 32003*x1**2*x2*x3*x4**2
0,9,5,x0**4*x2**4*x3**10*x4 + 30979 mod 32003*x2
1,0,4,x0**4*x1**14 + 3084 mod 32003*x0**6
1,1,4,x3**17 + 11666 mod 32003*x3**12
1,2,4,x0**8*x1**10*x3 + 21950 mod 32003*x0**2*x1**15 + 27677 mod 32003*x0**3*x1**5*x3**4
1,3,4,x0**4*x1**2*x2**12*x3 + 16176 mod 32003*x0**7*x1**4*x2*x3**2
1,4,4,x0**3*x1**5*x2**5*x3**4 + 29767 mod 32003*x0*x1**4*x2**2*x3**4 + 21763 mod 32003*x0*x1**5*x2 + 6591 mod 32003*x0**2*x2*x3**3
1,5,4,x1**4*x2**7*x3**8 + 28601 mod 32003*x0**11*x2**2*x3**2
1,6,4,x1*x2**8*x3**11 + 6001 mod 32003*x2**3*x3 + 30636 mod 32003*x1
1,7,4,x1**6*x2**2*x3**2 + 4481 mod 32003*x1*x2**7
1,8,4,x0**17*x1**2 + 3169 mod 32003*x0**14*x1**5 + 21345 mod 32003*x0**2
1,9,4,x1**3*x2**5*x3**3 + 2605 mod 32003*x1**2*x3**5
2,0,3,x0**16*x2**4 + 25855 mod 32003*x0**3*x2**17
2,1,3,x0*x1**2*x2**16 + 26692 mod 32003*x0**4*x1*x2**3
2,2,3,x0**18 + 21521 mod 32003*x0**4*x1**11
2,3,3,x0**2*x1**2*x2**5 + 28784 mod 32003*x0*x1**2
2,4,3,x0**17 + 18171 mod 32003*x0**15
2,5,3,x0**9*x1**7*x2**2 + 1983 mod 32003*x0*x1**7*x2**8 + 16028 mod 32003*x0*x1**4*x2
2,6,3,x0**5*x1**7 + 13719 mod 32003*x1**9
2,7,3,x0**12 + 420 mod 32003*x0
2,8,3,x0**7*x1**6*x2**3 + 30533 mod 32003*x0*x1**3
2,9,3,x0**13*x2**5 + 3631 mod 32003*x0**4*x2**6
3,0,5,x3**8 + 10845 mod 32003*x3**4
3,1,5,x0**4*x1**3*x2**11 + 5095 mod 32003*x0*x1*x2*x4**2
3,2,5,x2**8*x3**7*x4**5 + 20379 mod 32003*x3**3*x4**2
3,3,5,x2**5*x3**14 + 24523 mod 32003*x2*x3**6
3,4,5,x0**3*x2**6*x3*x4**2 + 6301 mod 32003*x1*x3**2
3,5,5,x1**4*x3**5 + 25369 mod 32003*x1**2*x3**6
3,6,5,x1**18 + 3768 mod 32003*x1**17
3,7,5,x2*x4**16 + 11309 mod 32003*x2**13*x4**2 + 16370 mod 32003*x2**4*x4**10
3,8,5,x4**19 + 18506 mod 32003*x4**2
3,9,5,x2**17 + 4532 mod 32003*x2**4
4,0,4,x1**6*x2**7*x3**5 + 17394 mod 32003*x1**2*x2**13*x3 + 15309 mod 32003*x2**5*x3**6 + 21882 mod 32003*x1**4*x3**7
4,1,4,x0**2*x1*x2**7*x3**2 + 22814 mod 32003*x0**4*x1*x2**3*x3**2
4,2,4,x3**20 + 15501 mod 32003*x3**14
4,3,4,x1**4*x2**3*x3**8 + 20916 mod 32003*x1**4*x2**9*x3
4,4,4,x0**3*x2**4*x3**10 + 23774 mod 32003*x0**3*x2**6*x3**7 + 29099 mod 32003*x2**4 + 31028 mod 32003*x3**3
