system_id,poly_index,polynomial
1,1,x3*x5+x5+x2-1.0;
1,2,-x1*x4-x2-x1;
1,3,x6**2+x4*x6+x6-1.0;
1,4,x4*x5+x2*x4+2.0*x2**2+2.0*x1*x6+x1*x5+2.0*x5+x2+2.0;
1,5,0.866025*x5*x6+0.25*x4*x6+x3*x5-x3*x4+0.866025*x2*x5+0.75*x1*x4+x1*x3-x1*x2+1.73205*x6+x5+x3-1.73205;
1,6,0.288675*x4*x6+1.63299*x4*x5+0.75*x3*x4-0.25*x2*x6-x2*x5+0.75*x2*x3-0.25*x2**2+0.333333*x1*x5-x1*x4+x1*x3-0.288675*x6-0.288675*x5-0.288675*x3+0.57735*x2-x1+0.25;
2,1,-0.365648*x3**4*x4*x5+0.375305*x1*x2*x4**2*x5**2-0.375305*x1*x2*x3*x4**2*x5+1.31592*x1*x2*x3**2*x4*x5-0.375305*x1*x2**2*x4**2*x5-1.31592*x1**2*x3*x4**2*x5-2.63184*x1**2*x3**3*x4+1.31592*x1**2*x2*x3**2*x5+x1**2*x2*x3**2*x4-1.31592*x1**2*x2**2*x4*x5-1.12592*x1**3*x2*x3*x5+0.562857*x3**2*x5**3-1.31592*x3**2*x4*x5**2+1.31592*x3**3*x5**2-3.94775*x2*x4**4+1.31592*x2*x3*x4*x5**2-x1*x3**4+0.375305*x1*x2*x3*x4**2-0.365648*x1*x2*x3**2*x4+0.365648*x1*x2**2*x3*x5+1.31592*x1*x2**3*x5+0.375305*x1**2*x4**2*x5+1.31592*x3*x4*x5**2-0.375305*x3*x4**2*x5-0.562857*x3**2*x5**2+0.375305*x1*x3*x4**2+0.75061*x1*x3**2*x5-3.63184*x1*x2*x4*x5-1.31592*x1*x2*x3*x5+3.94775*x3*x5**2+x3*x4*x5-0.375305*x2*x3**2-2.63184*x1*x4*x5+0.375305*x1*x3*x5+0.365648*x1*x3*x4-2.63184*x4*x5+0.375305*x2*x5+0.375305*x2*x4-1.31592*x2*x3-0.75061*x1*x4+3.94775*x5+1.12592*x3+0.365648*x2-0.562857*x1;
2,2,-1.31592*x3*x4**3*x5**2+1.31592*x3**3*x4*x5**2+3.94775*x2*x3**2*x4**2*x5-0.375305*x2**4*x5**2-2.63184*x1*x2*x3*x5**3+0.75061*x1*x2*x3**2*x4*x5+0.375305*x1*x2**2*x3*x5**2+0.365648*x1**2*x2*x3*x4**2-1.31592*x1**2*x2**2*x3*x4-0.365648*x1**2*x2**3*x4+x1**3*x2*x3*x5+0.375305*x1**3*x2*x3*x4-2.63184*x3*x4**3*x5-0.375305*x2*x3*x4**2*x5+1.31592*x2*x3**3*x4-0.375305*x1*x2*x4**2*x5-0.365648*x1*x2*x3*x5**2+2.63184*x1*x2*x3*x4*x5+0.562857*x1**2*x2*x4*x5-1.31592*x4**2*x5**2-0.375305*x2*x4**2*x5-0.365648*x1*x3**2*x5-0.562857*x1*x3**2*x4+x1*x2*x5**2+2.63184*x1*x2*x3*x4-1.31592*x1*x2**2*x4+3.94775*x3*x4*x5+0.562857*x2*x3*x4+3.94775*x2*x3**2-0.375305*x2**2*x5+0.365648*x1*x5**2+0.365648*x1*x4**2-1.31592*x1*x2*x5-1.31592*x4*x5+0.75061*x3*x5+x3*x4+1.31592*x2*x5-0.562857*x1*x4+1.12592*x1*x3+1.31592*x1*x2-0.365648*x4+0.75061*x3-1.31592*x2+0.75061*x1;
2,3,0.375305*x2*x3**3*x4**2+1.31592*x2**3*x3*x4**2-1.31592*x1*x3**2*x4*x5**2+0.375305*x1*x2**2*x3*x4*x5-1.31592*x1**2*x2**2*x4**2+0.375305*x1**3*x4*x5**2+0.75061*x1**3*x3**2*x5-0.365648*x2*x3*x4*x5**2-3.63184*x2*x3**2*x4*x5+1.31592*x2**2*x3*x4*x5-0.365648*x1*x4**3*x5-0.75061*x1*x2**2*x3**2+1.31592*x1**2*x3*x5**2+0.375305*x1**2*x2*x3*x5-0.365648*x3*x5**3+x3*x4**3-0.375305*x2*x3*x5**2+2.63184*x2**2*x4**2-1.31592*x2**2*x3*x4-0.562857*x1*x2*x4*x5+0.75061*x1*x2*x4**2+0.365648*x1*x2*x3*x5+0.75061*x1*x2**2*x5+1.31592*x1*x2**2*x4+0.365648*x1**2*x3*x5+3.94775*x1**3*x3-0.365648*x3*x4*x5+1.31592*x2*x4*x5+0.562857*x2*x3*x5-1.12592*x1*x2*x3-0.375305*x1*x2**2+0.375305*x1**2*x3-0.365648*x4**2+0.562857*x3*x5-1.12592*x3*x4-0.562857*x2*x4+0.365648*x2**2-0.375305*x1*x5-0.75061*x1*x4-0.75061*x1*x3+0.365648*x5+0.375305*x4-0.375305*x3-0.562857*x1;
2,4,0.75061*x2*x3*x4**2*x5**2+0.75061*x2**2*x3**2*x5**2+0.375305*x1*x2**2*x3*x5**2-1.12592*x1*x2**2*x3*x4*x5+x1*x2**3*x5**2+1.31592*x1**2*x2*x3*x5**2-3.94775*x2*x4*x5**3+0.75061*x2*x3*x5**3-2.63184*x2**2*x3*x4*x5-3.94775*x2**2*x3**2*x5+0.375305*x1*x4**3*x5-0.75061*x1*x2*x5**3-0.375305*x1*x2**2*x4*x5-1.31592*x1*x2**2*x3*x4-0.562857*x1**2*x3*x5**2-0.365648*x1**2*x3*x4**2+0.365648*x1**2*x2*x4*x5-x1**2*x2*x3*x5+0.375305*x1**3*x4*x5+0.75061*x3*x4**2*x5+0.375305*x2*x4**2*x5-0.365648*x2*x3**2*x5-2.63184*x2**2*x3*x5-1.12592*x2**2*x3*x4-2.63184*x2**3*x4-1.31592*x1*x4**3-0.375305*x1*x3**2*x5-0.75061*x1*x2*x3*x4+1.31592*x1**2*x3*x4+0.562857*x1**3*x5+0.75061*x3*x5**2-0.375305*x3*x4*x5-0.375305*x2*x3*x5-0.562857*x1*x3*x4-0.365648*x1*x3**2-1.31592*x4*x5-0.562857*x2*x4-0.75061*x1*x5-0.375305*x1*x3-0.365648*x5-0.562857*x4-0.375305*x3-1.31592*x2+0.75061*x1;
