source_file,system_id,strategy,elapsed,basis_size,n_steps,reward,finished
Final_1000_3_20_2'10_0.3_weighted.csv,0,degree,0.07811927795410156,4,134,,1
Final_1000_3_20_2'10_0.3_weighted.csv,1,degree,0.0002808570861816406,3,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,2,degree,0.033241987228393555,3,69,,1
Final_1000_3_20_2'10_0.3_weighted.csv,3,degree,10.006064891815186,2,631,,1
Final_1000_3_20_2'10_0.3_weighted.csv,4,degree,0.00035858154296875,6,6,,1
Final_1000_3_20_2'10_0.3_weighted.csv,5,degree,7.030401706695557,5,545,,1
Final_1000_3_20_2'10_0.3_weighted.csv,6,degree,0.3719625473022461,2,189,,1
Final_1000_3_20_2'10_0.3_weighted.csv,7,degree,0.01472330093383789,8,138,,1
Final_1000_3_20_2'10_0.3_weighted.csv,8,degree,0.0005192756652832031,2,9,,1
Final_1000_3_20_2'10_0.3_weighted.csv,9,degree,0.006667375564575195,2,80,,1
Final_1000_3_20_2'10_0.3_weighted.csv,10,degree,0.010787248611450195,7,106,,1
Final_1000_3_20_2'10_0.3_weighted.csv,11,degree,0.006471395492553711,4,78,,1
Final_1000_3_20_2'10_0.3_weighted.csv,12,degree,0.0005929470062255859,6,15,,1
Final_1000_3_20_2'10_0.3_weighted.csv,13,degree,0.033789873123168945,6,96,,1
Final_1000_3_20_2'10_0.3_weighted.csv,14,degree,0.002624988555908203,3,46,,1
Final_1000_3_20_2'10_0.3_weighted.csv,15,degree,0.0004367828369140625,7,10,,1
Final_1000_3_20_2'10_0.3_weighted.csv,16,degree,0.11160588264465332,41,134,,1
Final_1000_3_20_2'10_0.3_weighted.csv,17,degree,4.714268684387207,11,567,,1
Final_1000_3_20_2'10_0.3_weighted.csv,18,degree,0.12676072120666504,4,154,,1
Final_1000_3_20_2'10_0.3_weighted.csv,19,degree,0.3170647621154785,3,195,,1
Final_1000_3_20_2'10_0.3_weighted.csv,20,degree,1.3704140186309814,2,411,,1
Final_1000_3_20_2'10_0.3_weighted.csv,21,degree,0.18990254402160645,2,165,,1
Final_1000_3_20_2'10_0.3_weighted.csv,22,degree,0.005849361419677734,2,55,,1
Final_1000_3_20_2'10_0.3_weighted.csv,23,degree,0.0202333927154541,3,82,,1
Final_1000_3_20_2'10_0.3_weighted.csv,24,degree,0.0008516311645507812,10,19,,1
Final_1000_3_20_2'10_0.3_weighted.csv,25,degree,0.008011102676391602,9,93,,1
Final_1000_3_20_2'10_0.3_weighted.csv,26,degree,0.008875846862792969,3,79,,1
Final_1000_3_20_2'10_0.3_weighted.csv,27,degree,0.0331573486328125,2,92,,1
Final_1000_3_20_2'10_0.3_weighted.csv,28,degree,0.15494108200073242,3,181,,1
Final_1000_3_20_2'10_0.3_weighted.csv,29,degree,0.002621173858642578,3,29,,1
Final_1000_3_20_2'10_0.3_weighted.csv,30,degree,0.012753009796142578,3,95,,1
Final_1000_3_20_2'10_0.3_weighted.csv,31,degree,0.008561849594116211,4,58,,1
Final_1000_3_20_2'10_0.3_weighted.csv,32,degree,0.005401611328125,3,63,,1
Final_1000_3_20_2'10_0.3_weighted.csv,33,degree,0.0911722183227539,5,150,,1
Final_1000_3_20_2'10_0.3_weighted.csv,34,degree,0.028817415237426758,3,163,,1
Final_1000_3_20_2'10_0.3_weighted.csv,35,degree,0.2723045349121094,3,165,,1
Final_1000_3_20_2'10_0.3_weighted.csv,36,degree,0.12295269966125488,3,219,,1
Final_1000_3_20_2'10_0.3_weighted.csv,37,degree,42.67041373252869,2,1046,,1
Final_1000_3_20_2'10_0.3_weighted.csv,38,degree,0.011788368225097656,3,51,,1
Final_1000_3_20_2'10_0.3_weighted.csv,39,degree,0.145249605178833,2,174,,1
Final_1000_3_20_2'10_0.3_weighted.csv,40,degree,0.014068603515625,12,89,,1
Final_1000_3_20_2'10_0.3_weighted.csv,41,degree,0.0026438236236572266,2,40,,1
Final_1000_3_20_2'10_0.3_weighted.csv,42,degree,0.006306886672973633,2,70,,1
Final_1000_3_20_2'10_0.3_weighted.csv,43,degree,0.00021791458129882812,3,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,44,degree,0.14744877815246582,3,166,,1
Final_1000_3_20_2'10_0.3_weighted.csv,45,degree,0.18664908409118652,4,214,,1
Final_1000_3_20_2'10_0.3_weighted.csv,46,degree,0.10508394241333008,2,197,,1
Final_1000_3_20_2'10_0.3_weighted.csv,47,degree,0.10082101821899414,3,144,,1
Final_1000_3_20_2'10_0.3_weighted.csv,48,degree,0.00025391578674316406,4,4,,1
Final_1000_3_20_2'10_0.3_weighted.csv,49,degree,0.011587858200073242,4,113,,1
Final_1000_3_20_2'10_0.3_weighted.csv,50,degree,0.08913922309875488,2,144,,1
Final_1000_3_20_2'10_0.3_weighted.csv,51,degree,0.009520292282104492,3,102,,1
Final_1000_3_20_2'10_0.3_weighted.csv,52,degree,1.5818629264831543,4,391,,1
Final_1000_3_20_2'10_0.3_weighted.csv,53,degree,0.0003261566162109375,3,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,54,degree,0.0038979053497314453,3,53,,1
Final_1000_3_20_2'10_0.3_weighted.csv,55,degree,6.7430713176727295,10,618,,1
Final_1000_3_20_2'10_0.3_weighted.csv,56,degree,0.00020933151245117188,2,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,57,degree,0.0006780624389648438,6,11,,1
Final_1000_3_20_2'10_0.3_weighted.csv,58,degree,3.695487976074219e-05,2,0,,1
Final_1000_3_20_2'10_0.3_weighted.csv,59,degree,0.006959199905395508,2,81,,1
Final_1000_3_20_2'10_0.3_weighted.csv,60,degree,0.001895904541015625,7,35,,1
Final_1000_3_20_2'10_0.3_weighted.csv,61,degree,0.03766274452209473,2,145,,1
