source_file,system_id,strategy,elapsed,basis_size,n_steps,reward,finished
Final_1000_3_20_2'10_0.3_weighted.csv,0,normal,0.09603190422058105,4,163,,1
Final_1000_3_20_2'10_0.3_weighted.csv,1,normal,0.00039124488830566406,3,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,2,normal,0.030442476272583008,3,66,,1
Final_1000_3_20_2'10_0.3_weighted.csv,3,normal,7.494250297546387,2,571,,1
Final_1000_3_20_2'10_0.3_weighted.csv,4,normal,0.0028841495513916016,6,6,,1
Final_1000_3_20_2'10_0.3_weighted.csv,5,normal,5.282564163208008,5,529,,1
Final_1000_3_20_2'10_0.3_weighted.csv,6,normal,0.3180725574493408,2,255,,1
Final_1000_3_20_2'10_0.3_weighted.csv,7,normal,0.014558076858520508,8,139,,1
Final_1000_3_20_2'10_0.3_weighted.csv,8,normal,0.0003910064697265625,2,9,,1
Final_1000_3_20_2'10_0.3_weighted.csv,9,normal,0.006021738052368164,2,79,,1
Final_1000_3_20_2'10_0.3_weighted.csv,10,normal,0.008920907974243164,7,104,,1
Final_1000_3_20_2'10_0.3_weighted.csv,11,normal,0.007567405700683594,4,92,,1
Final_1000_3_20_2'10_0.3_weighted.csv,12,normal,0.000637054443359375,6,15,,1
Final_1000_3_20_2'10_0.3_weighted.csv,13,normal,0.024945974349975586,6,84,,1
Final_1000_3_20_2'10_0.3_weighted.csv,14,normal,0.0030210018157958984,3,49,,1
Final_1000_3_20_2'10_0.3_weighted.csv,15,normal,0.00042510032653808594,7,10,,1
Final_1000_3_20_2'10_0.3_weighted.csv,16,normal,0.16751813888549805,41,124,,1
Final_1000_3_20_2'10_0.3_weighted.csv,17,normal,5.403091907501221,11,558,,1
Final_1000_3_20_2'10_0.3_weighted.csv,18,normal,0.14013361930847168,4,133,,1
Final_1000_3_20_2'10_0.3_weighted.csv,19,normal,0.17999577522277832,3,180,,1
Final_1000_3_20_2'10_0.3_weighted.csv,20,normal,1.2574231624603271,2,380,,1
Final_1000_3_20_2'10_0.3_weighted.csv,21,normal,0.19592857360839844,2,164,,1
Final_1000_3_20_2'10_0.3_weighted.csv,22,normal,0.00545954704284668,2,68,,1
Final_1000_3_20_2'10_0.3_weighted.csv,23,normal,0.02549910545349121,3,92,,1
Final_1000_3_20_2'10_0.3_weighted.csv,24,normal,0.0009665489196777344,10,21,,1
Final_1000_3_20_2'10_0.3_weighted.csv,25,normal,0.006906986236572266,9,95,,1
Final_1000_3_20_2'10_0.3_weighted.csv,26,normal,0.011161565780639648,3,122,,1
Final_1000_3_20_2'10_0.3_weighted.csv,27,normal,0.022446632385253906,2,89,,1
Final_1000_3_20_2'10_0.3_weighted.csv,28,normal,0.0398707389831543,3,128,,1
Final_1000_3_20_2'10_0.3_weighted.csv,29,normal,0.0019097328186035156,3,29,,1
Final_1000_3_20_2'10_0.3_weighted.csv,30,normal,0.0015561580657958984,3,24,,1
Final_1000_3_20_2'10_0.3_weighted.csv,31,normal,0.005735874176025391,4,60,,1
Final_1000_3_20_2'10_0.3_weighted.csv,32,normal,0.005548238754272461,3,73,,1
Final_1000_3_20_2'10_0.3_weighted.csv,33,normal,0.08939552307128906,5,158,,1
Final_1000_3_20_2'10_0.3_weighted.csv,34,normal,0.02611565589904785,3,150,,1
Final_1000_3_20_2'10_0.3_weighted.csv,35,normal,0.0843048095703125,3,142,,1
Final_1000_3_20_2'10_0.3_weighted.csv,36,normal,0.08163619041442871,3,217,,1
Final_1000_3_20_2'10_0.3_weighted.csv,37,normal,64.65198707580566,2,1158,,1
Final_1000_3_20_2'10_0.3_weighted.csv,38,normal,0.02838444709777832,3,48,,1
Final_1000_3_20_2'10_0.3_weighted.csv,39,normal,0.15291476249694824,2,167,,1
Final_1000_3_20_2'10_0.3_weighted.csv,40,normal,0.008685588836669922,12,60,,1
Final_1000_3_20_2'10_0.3_weighted.csv,41,normal,0.0030121803283691406,2,41,,1
Final_1000_3_20_2'10_0.3_weighted.csv,42,normal,0.0044634342193603516,2,70,,1
Final_1000_3_20_2'10_0.3_weighted.csv,43,normal,0.00011897087097167969,3,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,44,normal,0.1658308506011963,3,157,,1
Final_1000_3_20_2'10_0.3_weighted.csv,45,normal,0.1597120761871338,4,210,,1
Final_1000_3_20_2'10_0.3_weighted.csv,46,normal,0.021703720092773438,2,123,,1
Final_1000_3_20_2'10_0.3_weighted.csv,47,normal,0.0907595157623291,3,134,,1
Final_1000_3_20_2'10_0.3_weighted.csv,48,normal,0.0005249977111816406,4,4,,1
Final_1000_3_20_2'10_0.3_weighted.csv,49,normal,0.013122797012329102,4,107,,1
Final_1000_3_20_2'10_0.3_weighted.csv,50,normal,0.11262822151184082,2,141,,1
Final_1000_3_20_2'10_0.3_weighted.csv,51,normal,0.007147073745727539,3,96,,1
Final_1000_3_20_2'10_0.3_weighted.csv,52,normal,0.5982625484466553,4,299,,1
Final_1000_3_20_2'10_0.3_weighted.csv,53,normal,0.0005931854248046875,3,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,54,normal,0.003954410552978516,3,59,,1
Final_1000_3_20_2'10_0.3_weighted.csv,55,normal,0.747520923614502,10,362,,1
Final_1000_3_20_2'10_0.3_weighted.csv,56,normal,0.001210927963256836,2,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,57,normal,0.0007045269012451172,6,11,,1
Final_1000_3_20_2'10_0.3_weighted.csv,58,normal,4.4345855712890625e-05,2,0,,1
Final_1000_3_20_2'10_0.3_weighted.csv,59,normal,0.008126974105834961,2,87,,1
Final_1000_3_20_2'10_0.3_weighted.csv,60,normal,0.001744985580444336,7,37,,1
Final_1000_3_20_2'10_0.3_weighted.csv,61,normal,0.03675222396850586,2,151,,1
Final_1000_3_20_2'10_0.3_weighted.csv,62,normal,1.8673114776611328,9,377,,1
Final_1000_3_20_2'10_0.3_weighted.csv,63,normal,0.004206657409667969,2,42,,1
Final_1000_3_20_2'10_0.3_weighted.csv,64,normal,0.4391624927520752,6,402,,1
Final_1000_3_20_2'10_0.3_weighted.csv,65,normal,0.0012233257293701172,9,18,,1
Final_1000_3_20_2'10_0.3_weighted.csv,66,normal,0.2807738780975342,2,189,,1
Final_1000_3_20_2'10_0.3_weighted.csv,67,normal,0.13332080841064453,8,214,,1
Final_1000_3_20_2'10_0.3_weighted.csv,68,normal,15.256794929504395,6,678,,1
Final_1000_3_20_2'10_0.3_weighted.csv,69,normal,0.012111425399780273,1,86,,1
Final_1000_3_20_2'10_0.3_weighted.csv,70,normal,0.0016405582427978516,9,21,,1
Final_1000_3_20_2'10_0.3_weighted.csv,71,normal,0.00019693374633789062,4,3,,1
Final_1000_3_20_2'10_0.3_weighted.csv,72,normal,0.004599571228027344,4,63,,1
Final_1000_3_20_2'10_0.3_weighted.csv,73,normal,0.00022125244140625,5,5,,1
Final_1000_3_20_2'10_0.3_weighted.csv,74,normal,0.0025556087493896484,4,45,,1
Final_1000_3_20_2'10_0.3_weighted.csv,75,normal,0.005768299102783203,3,56,,1
Final_1000_3_20_2'10_0.3_weighted.csv,76,normal,1.2541935443878174,5,366,,1
Final_1000_3_20_2'10_0.3_weighted.csv,77,normal,0.015442371368408203,3,117,,1
Final_1000_3_20_2'10_0.3_weighted.csv,78,normal,0.006234884262084961,4,36,,1
Final_1000_3_20_2'10_0.3_weighted.csv,79,normal,8.275713205337524,4,527,,1
Final_1000_3_20_2'10_0.3_weighted.csv,80,normal,0.006571292877197266,11,31,,1
Final_1000_3_20_2'10_0.3_weighted.csv,81,normal,0.0038280487060546875,3,45,,1
Final_1000_3_20_2'10_0.3_weighted.csv,82,normal,0.0073435306549072266,5,76,,1
Final_1000_3_20_2'10_0.3_weighted.csv,83,normal,0.007481813430786133,4,62,,1
Final_1000_3_20_2'10_0.3_weighted.csv,84,normal,0.017294645309448242,3,80,,1
Final_1000_3_20_2'10_0.3_weighted.csv,85,normal,0.004996299743652344,4,44,,1
Final_1000_3_20_2'10_0.3_weighted.csv,86,normal,0.0025987625122070312,6,39,,1
Final_1000_3_20_2'10_0.3_weighted.csv,87,normal,0.0009739398956298828,5,22,,1
Final_1000_3_20_2'10_0.3_weighted.csv,88,normal,0.012098312377929688,3,62,,1
Final_1000_3_20_2'10_0.3_weighted.csv,89,normal,0.0002968311309814453,2,8,,1
Final_1000_3_20_2'10_0.3_weighted.csv,90,normal,0.031248807907104492,2,90,,1
Final_1000_3_20_2'10_0.3_weighted.csv,91,normal,0.005850791931152344,2,81,,1
Final_1000_3_20_2'10_0.3_weighted.csv,92,normal,0.08056759834289551,2,159,,1
Final_1000_3_20_2'10_0.3_weighted.csv,93,normal,0.004774570465087891,5,56,,1
Final_1000_3_20_2'10_0.3_weighted.csv,94,normal,50.161879539489746,8,1103,,1
Final_1000_3_20_2'10_0.3_weighted.csv,95,normal,0.018080711364746094,4,18,,1
Final_1000_3_20_2'10_0.3_weighted.csv,96,normal,0.7496898174285889,6,263,,1
Final_1000_3_20_2'10_0.3_weighted.csv,97,normal,2.628253221511841,3,377,,1
Final_1000_3_20_2'10_0.3_weighted.csv,98,normal,13.757431983947754,3,744,,1
Final_1000_3_20_2'10_0.3_weighted.csv,99,normal,1.2003905773162842,5,369,,1
Final_1000_3_20_2'10_0.3_weighted.csv,100,normal,0.0033559799194335938,2,35,,1
Final_1000_3_20_2'10_0.3_weighted.csv,101,normal,4.747299909591675,4,466,,1
Final_1000_3_20_2'10_0.3_weighted.csv,102,normal,30.325076580047607,3,963,,1
Final_1000_3_20_2'10_0.3_weighted.csv,103,normal,0.2651665210723877,3,219,,1
Final_1000_3_20_2'10_0.3_weighted.csv,104,normal,0.00500178337097168,5,54,,1
Final_1000_3_20_2'10_0.3_weighted.csv,105,normal,0.5258638858795166,29,191,,1
