source_file,system_id,strategy,elapsed,basis_size,n_steps,reward,finished
Final_1000_3_20_2'10_0.3_weighted.csv,0,sugar,0.04956197738647461,4,93,,1
Final_1000_3_20_2'10_0.3_weighted.csv,1,sugar,0.00018858909606933594,3,2,,1
Final_1000_3_20_2'10_0.3_weighted.csv,2,sugar,0.005030393600463867,3,34,,1
Final_1000_3_20_2'10_0.3_weighted.csv,3,sugar,54.31577515602112,2,1055,,1
Final_1000_3_20_2'10_0.3_weighted.csv,4,sugar,0.01576972007751465,6,6,,1
Final_1000_3_20_2'10_0.3_weighted.csv,5,sugar,7.991962909698486,5,515,,1
Final_1000_3_20_2'10_0.3_weighted.csv,6,sugar,0.20340943336486816,2,183,,1
Final_1000_3_20_2'10_0.3_weighted.csv,7,sugar,0.01467275619506836,8,108,,1
Final_1000_3_20_2'10_0.3_weighted.csv,8,sugar,0.00206756591796875,2,44,,1
Final_1000_3_20_2'10_0.3_weighted.csv,9,sugar,0.6977510452270508,2,261,,1
Final_1000_3_20_2'10_0.3_weighted.csv,10,sugar,0.1376965045928955,7,199,,1
Final_1000_3_20_2'10_0.3_weighted.csv,11,sugar,0.020511150360107422,4,81,,1
Final_1000_3_20_2'10_0.3_weighted.csv,12,sugar,0.0006844997406005859,6,15,,1
Final_1000_3_20_2'10_0.3_weighted.csv,13,sugar,0.02618098258972168,6,71,,1
Final_1000_3_20_2'10_0.3_weighted.csv,14,sugar,0.009097576141357422,3,58,,1
Final_1000_3_20_2'10_0.3_weighted.csv,15,sugar,0.0004127025604248047,7,10,,1
Final_1000_3_20_2'10_0.3_weighted.csv,16,sugar,0.10357475280761719,41,130,,1
Final_1000_3_20_2'10_0.3_weighted.csv,17,sugar,9.691787958145142,11,569,,1
Final_1000_3_20_2'10_0.3_weighted.csv,18,sugar,0.3091561794281006,4,198,,1
Final_1000_3_20_2'10_0.3_weighted.csv,19,sugar,0.16611647605895996,3,180,,1
Final_1000_3_20_2'10_0.3_weighted.csv,20,sugar,2.57098126411438,2,370,,1
Final_1000_3_20_2'10_0.3_weighted.csv,21,sugar,0.1046757698059082,2,126,,1
Final_1000_3_20_2'10_0.3_weighted.csv,22,sugar,0.008119583129882812,2,48,,1
Final_1000_3_20_2'10_0.3_weighted.csv,23,sugar,0.004119873046875,3,42,,1
Final_1000_3_20_2'10_0.3_weighted.csv,24,sugar,0.0008573532104492188,10,17,,1
Final_1000_3_20_2'10_0.3_weighted.csv,25,sugar,0.005378246307373047,9,75,,1
Final_1000_3_20_2'10_0.3_weighted.csv,26,sugar,0.00780034065246582,3,79,,1
Final_1000_3_20_2'10_0.3_weighted.csv,27,sugar,0.015813350677490234,2,78,,1
Final_1000_3_20_2'10_0.3_weighted.csv,28,sugar,0.0191190242767334,3,82,,1
Final_1000_3_20_2'10_0.3_weighted.csv,29,sugar,0.0027387142181396484,3,35,,1
Final_1000_3_20_2'10_0.3_weighted.csv,30,sugar,0.054448843002319336,3,109,,1
Final_1000_3_20_2'10_0.3_weighted.csv,31,sugar,0.034770965576171875,4,100,,1
Final_1000_3_20_2'10_0.3_weighted.csv,32,sugar,0.09955811500549316,3,119,,1
Final_1000_3_20_2'10_0.3_weighted.csv,33,sugar,0.1158900260925293,5,155,,1
Final_1000_3_20_2'10_0.3_weighted.csv,34,sugar,0.008189201354980469,3,53,,1
Final_1000_3_20_2'10_0.3_weighted.csv,35,sugar,0.44496846199035645,3,160,,1
Final_1000_3_20_2'10_0.3_weighted.csv,36,sugar,0.14055657386779785,3,148,,1
Final_1000_3_20_2'10_0.3_weighted.csv,37,sugar,32.42569422721863,2,926,,1
Final_1000_3_20_2'10_0.3_weighted.csv,38,sugar,0.027154922485351562,3,46,,1
Final_1000_3_20_2'10_0.3_weighted.csv,39,sugar,0.3126215934753418,2,187,,1
Final_1000_3_20_2'10_0.3_weighted.csv,40,sugar,0.003983497619628906,12,26,,1
Final_1000_3_20_2'10_0.3_weighted.csv,41,sugar,0.006430387496948242,2,44,,1
Final_1000_3_20_2'10_0.3_weighted.csv,42,sugar,0.0043680667877197266,2,58,,1
Final_1000_3_20_2'10_0.3_weighted.csv,43,sugar,0.00010609626770019531,3,2,,1
