source_file,system_id,strategy,elapsed,basis_size,n_steps,reward,finished
Final_1000_3_5_20_10_0.3.csv,0,sugar,0.0013628005981445312,3,20,,1
Final_1000_3_5_20_10_0.3.csv,1,sugar,600.000027179718,0,0,,0
Final_1000_3_5_20_10_0.3.csv,2,sugar,0.23724055290222168,2,189,,1
Final_1000_3_5_20_10_0.3.csv,3,sugar,4.00948691368103,9,859,,1
Final_1000_3_5_20_10_0.3.csv,4,sugar,600.0000309944153,0,0,,0
Final_1000_3_5_20_10_0.3.csv,5,sugar,0.16850852966308594,2,281,,1
Final_1000_3_5_20_10_0.3.csv,6,sugar,0.0020990371704101562,3,24,,1
Final_1000_3_5_20_10_0.3.csv,7,sugar,0.19373011589050293,22,590,,1
Final_1000_3_5_20_10_0.3.csv,8,sugar,4.051089286804199,4,545,,1
Final_1000_3_5_20_10_0.3.csv,9,sugar,0.0064280033111572266,3,38,,1
Final_1000_3_5_20_10_0.3.csv,10,sugar,0.017357826232910156,4,106,,1
Final_1000_3_5_20_10_0.3.csv,11,sugar,29.169507265090942,17,782,,1
Final_1000_3_5_20_10_0.3.csv,12,sugar,0.3175475597381592,4,238,,1
Final_1000_3_5_20_10_0.3.csv,13,sugar,0.007096767425537109,3,52,,1
Final_1000_3_5_20_10_0.3.csv,14,sugar,0.002404451370239258,3,19,,1
Final_1000_3_5_20_10_0.3.csv,15,sugar,0.0019307136535644531,3,36,,1
Final_1000_3_5_20_10_0.3.csv,16,sugar,0.12906384468078613,49,459,,1
Final_1000_3_5_20_10_0.3.csv,17,sugar,48.41391324996948,28,1780,,1
Final_1000_3_5_20_10_0.3.csv,18,sugar,0.015537261962890625,6,116,,1
Final_1000_3_5_20_10_0.3.csv,19,sugar,0.0035123825073242188,4,46,,1
Final_1000_3_5_20_10_0.3.csv,20,sugar,0.007963180541992188,4,82,,1
Final_1000_3_5_20_10_0.3.csv,21,sugar,0.010744810104370117,3,85,,1
Final_1000_3_5_20_10_0.3.csv,22,sugar,0.0029850006103515625,4,35,,1
Final_1000_3_5_20_10_0.3.csv,23,sugar,0.007291078567504883,4,72,,1
Final_1000_3_5_20_10_0.3.csv,24,sugar,0.01788783073425293,3,107,,1
Final_1000_3_5_20_10_0.3.csv,25,sugar,0.004049539566040039,4,39,,1
Final_1000_3_5_20_10_0.3.csv,26,sugar,0.0024366378784179688,3,30,,1
Final_1000_3_5_20_10_0.3.csv,27,sugar,0.005196809768676758,9,50,,1
Final_1000_3_5_20_10_0.3.csv,28,sugar,0.06968331336975098,8,206,,1
Final_1000_3_5_20_10_0.3.csv,29,sugar,0.013834953308105469,6,103,,1
Final_1000_3_5_20_10_0.3.csv,30,sugar,0.037255287170410156,4,102,,1
Final_1000_3_5_20_10_0.3.csv,31,sugar,0.0022101402282714844,3,32,,1
Final_1000_3_5_20_10_0.3.csv,32,sugar,0.06203937530517578,12,244,,1
Final_1000_3_5_20_10_0.3.csv,33,sugar,0.012835502624511719,4,89,,1
Final_1000_3_5_20_10_0.3.csv,34,sugar,460.41313314437866,7,2726,,1
Final_1000_3_5_20_10_0.3.csv,35,sugar,600.0001227855682,0,0,,0
Final_1000_3_5_20_10_0.3.csv,36,sugar,0.08059430122375488,4,51,,1
Final_1000_3_5_20_10_0.3.csv,37,sugar,0.2050173282623291,8,556,,1
Final_1000_3_5_20_10_0.3.csv,38,sugar,0.0637819766998291,3,240,,1
Final_1000_3_5_20_10_0.3.csv,39,sugar,26.783393621444702,41,791,,1
Final_1000_3_5_20_10_0.3.csv,40,sugar,3.325653076171875,11,624,,1
Final_1000_3_5_20_10_0.3.csv,41,sugar,0.014087677001953125,4,97,,1
Final_1000_3_5_20_10_0.3.csv,42,sugar,0.009092092514038086,4,65,,1
Final_1000_3_5_20_10_0.3.csv,43,sugar,0.002619028091430664,5,38,,1
Final_1000_3_5_20_10_0.3.csv,44,sugar,0.0069081783294677734,4,38,,1
Final_1000_3_5_20_10_0.3.csv,45,sugar,0.0040814876556396484,2,57,,1
Final_1000_3_5_20_10_0.3.csv,46,sugar,0.01386404037475586,7,105,,1
Final_1000_3_5_20_10_0.3.csv,47,sugar,0.025928497314453125,14,140,,1
Final_1000_3_5_20_10_0.3.csv,48,sugar,0.0020275115966796875,2,18,,1
Final_1000_3_5_20_10_0.3.csv,49,sugar,0.001191854476928711,4,22,,1
Final_1000_3_5_20_10_0.3.csv,50,sugar,15.821057081222534,6,332,,1
Final_1000_3_5_20_10_0.3.csv,51,sugar,1.1101646423339844,10,711,,1
Final_1000_3_5_20_10_0.3.csv,52,sugar,33.002384424209595,65,759,,1
Final_1000_3_5_20_10_0.3.csv,53,sugar,0.010432958602905273,5,35,,1
Final_1000_3_5_20_10_0.3.csv,54,sugar,225.39546966552734,14,2049,,1
Final_1000_3_5_20_10_0.3.csv,55,sugar,0.0692298412322998,16,210,,1
Final_1000_3_5_20_10_0.3.csv,56,sugar,0.6802608966827393,4,634,,1
Final_1000_3_5_20_10_0.3.csv,57,sugar,0.7038528919219971,3,472,,1
Final_1000_3_5_20_10_0.3.csv,58,sugar,45.32363772392273,5,1354,,1
Final_1000_3_5_20_10_0.3.csv,59,sugar,0.15076303482055664,5,189,,1
Final_1000_3_5_20_10_0.3.csv,60,sugar,0.09135317802429199,4,108,,1
Final_1000_3_5_20_10_0.3.csv,61,sugar,0.0024955272674560547,4,30,,1
Final_1000_3_5_20_10_0.3.csv,62,sugar,0.08269619941711426,10,102,,1
Final_1000_3_5_20_10_0.3.csv,63,sugar,0.029682159423828125,7,162,,1
Final_1000_3_5_20_10_0.3.csv,64,sugar,0.0027544498443603516,4,34,,1
Final_1000_3_5_20_10_0.3.csv,65,sugar,0.013696670532226562,5,68,,1
Final_1000_3_5_20_10_0.3.csv,66,sugar,0.08460497856140137,19,272,,1
Final_1000_3_5_20_10_0.3.csv,67,sugar,0.0026955604553222656,6,32,,1
Final_1000_3_5_20_10_0.3.csv,68,sugar,0.003629922866821289,4,41,,1
Final_1000_3_5_20_10_0.3.csv,69,sugar,252.1726794242859,12,840,,1
Final_1000_3_5_20_10_0.3.csv,70,sugar,0.011433124542236328,6,18,,1
Final_1000_3_5_20_10_0.3.csv,71,sugar,0.007528781890869141,3,60,,1
Final_1000_3_5_20_10_0.3.csv,72,sugar,0.0030736923217773438,3,29,,1
Final_1000_3_5_20_10_0.3.csv,73,sugar,0.003514528274536133,4,40,,1
